fov_id,tile_index,x,y,predicted_probability
2 (12).jpg,50,1280,1280,0.44789597392082214
2 (12).jpg,51,1536,1280,0.49337148666381836
2 (12).jpg,52,1792,1280,0.6024366021156311
2 (12).jpg,53,1930,1280,0.5414486527442932
2 (12).jpg,54,0,1530,0.403321236371994
2 (12).jpg,55,256,1530,0.7145001888275146
2 (12).jpg,56,512,1530,0.2898572087287903
2 (12).jpg,57,768,1530,0.3320207893848419
2 (12).jpg,58,1024,1530,0.2645430564880371
2 (12).jpg,59,1280,1530,0.18806061148643494
2 (12).jpg,60,1536,1530,0.15437442064285278
2 (12).jpg,61,1792,1530,0.5567285418510437
2 (12).jpg,62,1930,1530,0.5878583192825317
2 (13).jpg,0,0,0,0.037780601531267166
2 (13).jpg,1,256,0,0.6705111265182495
2 (13).jpg,2,512,0,0.9414726495742798
2 (13).jpg,3,768,0,0.9419625401496887
2 (13).jpg,4,1024,0,0.854185163974762
2 (13).jpg,5,1280,0,0.37419840693473816
2 (13).jpg,6,1536,0,0.6004098057746887
2 (13).jpg,7,1792,0,0.8103184700012207
2 (13).jpg,8,1930,0,0.7442759871482849
2 (13).jpg,9,0,256,0.21018829941749573
2 (13).jpg,10,256,256,0.306635320186615
2 (13).jpg,11,512,256,0.6721822023391724
2 (13).jpg,12,768,256,0.8643670678138733
2 (13).jpg,13,1024,256,0.870394229888916
2 (13).jpg,14,1280,256,0.6295303106307983
2 (13).jpg,15,1536,256,0.7227188944816589
2 (13).jpg,16,1792,256,0.9450774788856506
2 (13).jpg,17,1930,256,0.8732678890228271
2 (13).jpg,18,0,512,0.8999917507171631
2 (13).jpg,19,256,512,0.9590407013893127
2 (13).jpg,20,512,512,0.5381609201431274
2 (13).jpg,21,768,512,0.6865936517715454
2 (13).jpg,22,1024,512,0.8969231247901917
2 (13).jpg,23,1280,512,0.9180038571357727
2 (13).jpg,24,1536,512,0.7939811944961548
2 (13).jpg,25,1792,512,0.9168914556503296
2 (13).jpg,26,1930,512,0.8551756739616394
2 (13).jpg,27,0,768,0.9116328954696655
2 (13).jpg,28,256,768,0.9450322389602661
2 (13).jpg,29,512,768,0.3542896807193756
2 (13).jpg,30,768,768,0.7472642660140991
2 (13).jpg,31,1024,768,0.9404112100601196
2 (13).jpg,32,1280,768,0.9282037615776062
2 (13).jpg,33,1536,768,0.5383650064468384
2 (13).jpg,34,1792,768,0.1302369087934494
2 (13).jpg,35,1930,768,0.18640616536140442
2 (13).jpg,36,0,1024,0.4829736351966858
2 (13).jpg,37,256,1024,0.6652806997299194
2 (13).jpg,38,512,1024,0.6682637333869934
2 (13).jpg,39,768,1024,0.40592819452285767
2 (13).jpg,40,1024,1024,0.6961519122123718
2 (13).jpg,41,1280,1024,0.7812495231628418
2 (13).jpg,42,1536,1024,0.8865076899528503
2 (13).jpg,43,1792,1024,0.7182019352912903
2 (13).jpg,44,1930,1024,0.5441063046455383
2 (13).jpg,45,0,1280,0.738885760307312
2 (13).jpg,46,256,1280,0.7379154562950134
2 (13).jpg,47,512,1280,0.8054165840148926
2 (13).jpg,48,768,1280,0.7432914972305298
2 (13).jpg,49,1024,1280,0.8145809173583984
2 (13).jpg,50,1280,1280,0.6789997816085815
2 (13).jpg,51,1536,1280,0.5961583852767944
2 (13).jpg,52,1792,1280,0.9237350821495056
2 (13).jpg,53,1930,1280,0.9325372576713562
2 (13).jpg,54,0,1530,0.74448162317276
2 (13).jpg,55,256,1530,0.5307853817939758
2 (13).jpg,56,512,1530,0.45261290669441223
2 (13).jpg,57,768,1530,0.3881670832633972
2 (13).jpg,58,1024,1530,0.6943944096565247
2 (13).jpg,59,1280,1530,0.5146843791007996
2 (13).jpg,60,1536,1530,0.4031112790107727
2 (13).jpg,61,1792,1530,0.6013036370277405
2 (13).jpg,62,1930,1530,0.8408017158508301
2 (14).jpg,0,0,0,0.4182646572589874
2 (14).jpg,1,256,0,0.852082371711731
2 (14).jpg,2,512,0,0.9054789543151855
2 (14).jpg,3,768,0,0.9238094091415405
2 (14).jpg,4,1024,0,0.9268040060997009
2 (14).jpg,5,1280,0,0.9022493958473206
2 (14).jpg,6,1536,0,0.9368540644645691
2 (14).jpg,7,1792,0,0.6828483939170837
2 (14).jpg,8,1930,0,0.47412028908729553
2 (14).jpg,9,0,256,0.2032000869512558
2 (14).jpg,10,256,256,0.7775794267654419
2 (14).jpg,11,512,256,0.8427252173423767
2 (14).jpg,12,768,256,0.8200541138648987
2 (14).jpg,13,1024,256,0.8923435807228088
2 (14).jpg,14,1280,256,0.8660857677459717
2 (14).jpg,15,1536,256,0.9386956691741943
2 (14).jpg,16,1792,256,0.8107305765151978
2 (14).jpg,17,1930,256,0.8233621716499329
2 (14).jpg,18,0,512,0.5981227159500122
2 (14).jpg,19,256,512,0.9293317794799805
2 (14).jpg,20,512,512,0.8052982091903687
2 (14).jpg,21,768,512,0.5981137156486511
2 (14).jpg,22,1024,512,0.7172775268554688
2 (14).jpg,23,1280,512,0.7978668808937073
2 (14).jpg,24,1536,512,0.8614272475242615
2 (14).jpg,25,1792,512,0.8797520399093628
2 (14).jpg,26,1930,512,0.743600606918335
2 (14).jpg,27,0,768,0.8426676988601685
2 (14).jpg,28,256,768,0.8801694512367249
2 (14).jpg,29,512,768,0.6872659921646118
2 (14).jpg,30,768,768,0.21739062666893005
2 (14).jpg,31,1024,768,0.5790088772773743
2 (14).jpg,32,1280,768,0.6693206429481506
2 (14).jpg,33,1536,768,0.8511457443237305
2 (14).jpg,34,1792,768,0.3580518960952759
2 (14).jpg,35,1930,768,0.060141097754240036
2 (14).jpg,36,0,1024,0.534453272819519
2 (14).jpg,37,256,1024,0.9559524655342102
2 (14).jpg,38,512,1024,0.980381190776825
2 (14).jpg,39,768,1024,0.936738133430481
2 (14).jpg,40,1024,1024,0.5258234739303589
2 (14).jpg,41,1280,1024,0.8791705965995789
2 (14).jpg,42,1536,1024,0.9165906310081482
2 (14).jpg,43,1792,1024,0.38052529096603394
2 (14).jpg,44,1930,1024,0.1521911770105362
2 (14).jpg,45,0,1280,0.300666868686676
2 (14).jpg,46,256,1280,0.9018662571907043
2 (14).jpg,47,512,1280,0.968203604221344
2 (14).jpg,48,768,1280,0.9303578734397888
2 (14).jpg,49,1024,1280,0.6278360486030579
2 (14).jpg,50,1280,1280,0.9506879448890686
2 (14).jpg,51,1536,1280,0.9030784368515015
2 (14).jpg,52,1792,1280,0.5229158401489258
2 (14).jpg,53,1930,1280,0.14617370069026947
2 (14).jpg,54,0,1530,0.9837653040885925
2 (14).jpg,55,256,1530,0.9540510177612305
2 (14).jpg,56,512,1530,0.8469383716583252
2 (14).jpg,57,768,1530,0.9615079760551453
2 (14).jpg,58,1024,1530,0.9689165353775024
2 (14).jpg,59,1280,1530,0.8511959314346313
2 (14).jpg,60,1536,1530,0.5286893844604492
2 (14).jpg,61,1792,1530,0.5081369280815125
2 (14).jpg,62,1930,1530,0.30689364671707153
2 (15).jpg,0,0,0,0.6716184020042419
2 (15).jpg,1,256,0,0.3674454987049103
2 (15).jpg,2,512,0,0.12981729209423065
2 (15).jpg,3,768,0,0.5568960905075073
2 (15).jpg,4,1024,0,0.7711754441261292
2 (15).jpg,5,1280,0,0.7139027118682861
2 (15).jpg,6,1536,0,0.4856458008289337
2 (15).jpg,7,1792,0,0.280394971370697
2 (15).jpg,8,1930,0,0.4913317561149597
2 (15).jpg,9,0,256,0.8476517796516418
2 (15).jpg,10,256,256,0.7052798867225647
2 (15).jpg,11,512,256,0.47851255536079407
2 (15).jpg,12,768,256,0.47556453943252563
2 (15).jpg,13,1024,256,0.414949893951416
2 (15).jpg,14,1280,256,0.4995564818382263
2 (15).jpg,15,1536,256,0.4367126524448395
2 (15).jpg,16,1792,256,0.48864784836769104
2 (15).jpg,17,1930,256,0.6159573793411255
2 (15).jpg,18,0,512,0.9569197297096252
2 (15).jpg,19,256,512,0.9726279973983765
2 (15).jpg,20,512,512,0.9448750019073486
2 (15).jpg,21,768,512,0.9089921712875366
2 (15).jpg,22,1024,512,0.339253306388855
2 (15).jpg,23,1280,512,0.4148932993412018
2 (15).jpg,24,1536,512,0.7969202995300293
2 (15).jpg,25,1792,512,0.7774531245231628
2 (15).jpg,26,1930,512,0.4754202663898468
2 (15).jpg,27,0,768,0.975466251373291
2 (15).jpg,28,256,768,0.9027393460273743
2 (15).jpg,29,512,768,0.8662621378898621
2 (15).jpg,30,768,768,0.701736569404602
2 (15).jpg,31,1024,768,0.1925058513879776
2 (15).jpg,32,1280,768,0.4416462182998657
2 (15).jpg,33,1536,768,0.925216555595398
2 (15).jpg,34,1792,768,0.9761992692947388
2 (15).jpg,35,1930,768,0.8649786710739136
2 (15).jpg,36,0,1024,0.6581358313560486
2 (15).jpg,37,256,1024,0.6145872473716736
2 (15).jpg,38,512,1024,0.7993736863136292
2 (15).jpg,39,768,1024,0.665955662727356
2 (15).jpg,40,1024,1024,0.5093467831611633
2 (15).jpg,41,1280,1024,0.5202271342277527
2 (15).jpg,42,1536,1024,0.8140522241592407
2 (15).jpg,43,1792,1024,0.7820009589195251
2 (15).jpg,44,1930,1024,0.7239959239959717
2 (15).jpg,45,0,1280,0.4873248040676117
2 (15).jpg,46,256,1280,0.8089420795440674
2 (15).jpg,47,512,1280,0.8619429469108582
